ticker,title,source,published_at,url,sentiment,confidence,positive_signals,negative_signals,neutral_signals,total_signals
AAPL,This Little-Known AI Stock Is Up 70% in 2025 and Analysts Think It Can Rally Further From Here,Barchart.com,2025-09-15T15:46:32Z,https://www.barchart.com/story/news/34814263/this-little-known-ai-stock-is-up-70-in-2025-and-analysts-think-it-can-rally-further-from-here,positive,1.0,3,0,0,3
AAPL,"Top Stock Movers Now: Apple, FedEx, Lennar, and More",Investopedia,2025-09-19T17:02:52Z,https://www.investopedia.com/top-stock-movers-now-apple-fedex-lennar-and-more-11813479,neutral,0.0,0,0,0,0
AAPL,How Micron Stock Surges 2x To $300,Forbes,2025-09-18T09:00:27Z,https://www.forbes.com/sites/greatspeculations/2025/09/18/how-micron-stock-surges-2x-to-300/,neutral,0.0,0,0,0,0
